name,nid,icons,productUrl,image,price,promotionId,priceShow,ratingScore,review,installment,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,freeShipping,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.x_item_ids,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.x_object_id,originalPrice,originalPriceShow,discount,utLogMap.voucherIds
Woollen Leg Warmers Winter Warm Fur Long Leg Warmers Over Knee High Footless Socks- Unisex Black color,127997870,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/woollen-leg-warmers-winter-warm-fur-long-leg-warmers-over-knee-high-footless-socks-unisex-black-color-i127997870-s1035039747.html?search=1,https://np-live-21.slatic.net/kf/Sd8fa2c8464c64513a1cb3931e86ffed3i.jpg,550.00,null,Rs. 550,5,1,,nt_product,Nepal,127997870_NP-1035039747,127997870_NP,[],"['Full-way elasticity provides more fitting and more comfortable support against the knee, it keeps knee warm properly', 'High elasticity provides more fitting and more comfortable support for the knee', 'Suitable for a variety of fitness and sports &amp; Mainly suited in Winters', 'Care Instructions: Normal Wash']",39704,No Brand,900157275747,,Circuit Zone Nepal,[],0,"[1819, 1820, 1738, 1756]",query:;nid:127997870;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:127997870_NP;price:550.00;client:desktop;supplier_id:900157275747;asc_category_id:1756;item_id:127997870;sku_id:1035039747;shop_id:91035,"[{'sku': '127997870_NP-1035039747', 'title': 'free size', 'skuId': '1035039747', 'count': 0}]",127997870,Free Shipping,1035039747,True,0,False,query:;nid:127997870;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:127997870_NP;price:550.00;client:desktop;supplier_id:900157275747;asc_category_id:1756;item_id:127997870;sku_id:1035039747;shop_id:91035,item,550.00,127997870,search,0,true,1035039747,574e15ed216a5f0267793e13699cb759,550.00,1,2141132616994318186576185e0177,127997870,,,,
Stylish Mini Skirt For Women And Girls,128185109,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/stylish-mini-skirt-for-women-i128185109-s1035283984.html?search=1,https://static-01.daraz.com.np/p/818c7287443fe0ef716febc9fb1b6a49.jpg,935,null,Rs. 935,,0,,nt_product,Nepal,128185109_NP-1035283984,128185109_NP,[],"['no brand', 'stylish', 'party wear', 'club wear', 'fashionable', 'comfortable', 'stretchable ']",39704,No Brand,900162213653,,limelight,[],0,"[1819, 1820, 1738, 1755]",query:;nid:128185109;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:128185109_NP;price:935;client:desktop;supplier_id:900162213653;asc_category_id:1755;item_id:128185109;sku_id:1035283984;shop_id:104866,"[{'sku': '128185109_NP-1035283984', 'title': 'free size', 'skuId': '1035283984', 'count': 0}]",128185109,Free Shipping,1035283984,True,0,False,query:;nid:128185109;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:128185109_NP;price:935;client:desktop;supplier_id:900162213653;asc_category_id:1755;item_id:128185109;sku_id:1035283984;shop_id:104866,item,1100.00,128185109,search,15,true,1035283984,574e15ed216a5f0267793e13699cb759,935,1,2141132616994318186576185e0177,128185109,1100.00,"Rs. 1,100",-15%,
Jogger And Sweatshirt Set For Women Fleece  Trouser With Top,108637132,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/winter-jogger-and-sweatshirt-set-for-women-fleece-trouser-with-top-i108637132-s1029343041.html?search=1,https://static-01.daraz.com.np/p/b90ff8643f011d6befd95197d6a79f30.jpg,1650.00,null,"Rs. 1,650",4.2,45,,nt_product,Nepal,108637132_NP-1029343041,108637132_NP,[],"['Material: Cotton', 'Sleeves : Full', 'Style: Solid', 'Size : Fits upto 40"" Chest', 'Durable and comfortable', 'Wash Care: Hand/ Machine Wash']",39704,No Brand,900151806004,,Glam And Glitter,[],0,"[1819, 1820, 1738, 4428, 4451]",query:;nid:108637132;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:108637132_NP;price:1650.00;client:desktop;supplier_id:900151806004;asc_category_id:4451;item_id:108637132;sku_id:1029343041;shop_id:32447,"[{'sku': '108637132_NP-1029343041', 'title': 'free size', 'skuId': '1029343041', 'count': 0}]",108637132,Free Shipping,1029343041,True,0,False,query:;nid:108637132;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:108637132_NP;price:1650.00;client:desktop;supplier_id:900151806004;asc_category_id:4451;item_id:108637132;sku_id:1029343041;shop_id:32447,item,3200.00,108637132,search,48,true,1029343041,574e15ed216a5f0267793e13699cb759,1650.00,1,2141132616994318186576185e0177,108637132,3200.00,"Rs. 3,200",-48%,
Women High Waist Pantyhose Stockings,124945191,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/women-high-waist-pantyhose-stockings-i124945191-s1033937368.html?search=1,https://static-01.daraz.com.np/p/93e6be1fa84d8be6b29c722e75484860.jpg,299.00,null,Rs. 299,3,2,,nt_product,Nepal,124945191_NP-1033937368,124945191_NP,[],"[""Women's Panty Hose Stockings Tights - Perfect Fit"", 'Classy, Thinnest Stockings,Lightweight, Comfortable,Soft Fabric', 'Lightweight, Comfortable, Classy, Stretchy Japan Nylon 66 Multi Yarn Fabric', 'Kindly Do Not Wash In Hot Water, Do Not Iron, Do Not Dry In Direct Sunlight', 'Please Note That Sheerness &amp; Color Will Vary Depending Upon The Natural Skin Tone Of The User']",39704,No Brand,900156891402,,WOW'S ONLINE,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:124945191;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:124945191_NP;price:299.00;client:desktop;supplier_id:900156891402;asc_category_id:4442;item_id:124945191;sku_id:1033937368;shop_id:87002,"[{'sku': '124945191_NP-1033937368', 'title': 'free size', 'skuId': '1033937368', 'count': 0}]",124945191,Free Shipping,1033937368,True,0,False,query:;nid:124945191;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:124945191_NP;price:299.00;client:desktop;supplier_id:900156891402;asc_category_id:4442;item_id:124945191;sku_id:1033937368;shop_id:87002,item,399.00,124945191,search,25,true,1033937368,574e15ed216a5f0267793e13699cb759,299.00,1,2141132616994318186576185e0177,124945191,399.00,Rs. 399,-25%,
Leggings For Women/ Black Color Super Stretchable Leggings For Women - Fashion | Fitness Wear | Leggings For Women,108789095,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/leggings-for-women-black-color-super-stretchable-leggings-for-women-fashion-fitness-wear-leggings-for-women-i108789095-s1029379290.html?search=1,https://static-01.daraz.com.np/p/b59e0544d14402e0e7c59fb9c0c6dcf2.jpg,389.00,null,Rs. 389,3.9,29,,nt_product,Nepal,108789095_NP-1029379290,108789095_NP,[],"['95% Cotton, 5% Spandex', 'Exported Quality', 'Color Black ', 'Machine and hand Wash', 'The regular waisted leggings for women and fits your body perfectly', 'ULTRA-STRETCH: ultra-stretch fit that slims and conforms with each pose, movement, and contour. Featuring the super stretchy material, our leggings are very comfy.', 'PERFECT FOR ANY SEASON, ACTIVITY - The leggings are perfect for any season and any activity. light Yoga, Workout, Fitness, Pilates, or Cross Fit, these slimming pants can be worn lounging around the house, shopping, or living an active lifestyle. Pair with anything from dresses to sweaters to create a look that shows off your sense of fashion.']",155927,Livingtex,900152010021,,Livingtex,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:108789095;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:108789095_NP;price:389.00;client:desktop;supplier_id:900152010021;asc_category_id:4442;item_id:108789095;sku_id:1029379290;shop_id:37199,"[{'sku': '108789095_NP-1029379290', 'title': 'Int XL', 'skuId': '1029379290', 'count': 0}, {'sku': '108789095_NP-1029379291', 'title': 'Int XXL', 'skuId': '1029379291', 'count': 0}]",108789095,Free Shipping,1029379290,True,0,False,query:;nid:108789095;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:108789095_NP;price:389.00;client:desktop;supplier_id:900152010021;asc_category_id:4442;item_id:108789095;sku_id:1029379290;shop_id:37199,item,600.00,108789095,search,35,true,1029379290,574e15ed216a5f0267793e13699cb759,389.00,1,2141132616994318186576185e0177,108789095,600.00,Rs. 600,-35%,
Women Summer Silk Smooth Breathable High Waist Ultra Thin Stockings.,124429672,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/women-summer-silk-smooth-breathable-high-waist-ultra-thin-stockings-i124429672-s1033780905.html?search=1,https://static-01.daraz.com.np/p/fcb04e9eb45abc7f1d179036673f6337.jpg,399.00,null,Rs. 399,4.2,5,,nt_product,Nepal,124429672_NP-1033780905,124429672_NP,[],"['Care Instructions: Hand Wash Only', '💯STRETCHABLE : Introducing our latest line of ultra soft and high elastic stockings for women! These stockings have four way stretchability for the perfect fit, every time.', '👍DURABILITY : Looking for something both comfortable and durable to wear in all seasons? Haute Sauce Tights are perfect for ballet dance, gymnastics, costume, formal events, or just everyday casual dress wear.', '📏SIZE : Our one-size fits all waist 24inch-34inch and is perfect for those up to 172 cm (5.8 ft) tall. The stretch-fit design of these stockings will keep them snugly on your body and prevent them from slipping off. The stretch waistband will also give you more comfort.', ""🧵MATERIAL : If you're looking for quality materials, look no further than our 90% Nylon, 10% Spandex stockings. They're comfortable, durable, and stretchy, making them perfect for a variety of uses. Made of quality  nylon, they're not easy to tear and will give your legs a skinny and unique appearance."", '🤌CARE : Hand wash with lukewarm water and a mild detergent. Machine washing is not recommended as it may damage the fabric. Do not dry clean or tumble dry as this will also damage the fabric.']",39704,No Brand,900152322004,,thirdeye collection,[],0,"[1819, 1820, 1738, 1756]",query:;nid:124429672;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:124429672_NP;price:399.00;client:desktop;supplier_id:900152322004;asc_category_id:1756;item_id:124429672;sku_id:1033780905;shop_id:43935,"[{'sku': '124429672_NP-1033780905', 'title': 'free size', 'skuId': '1033780905', 'count': 0}]",124429672,Free Shipping,1033780905,True,0,False,query:;nid:124429672;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:124429672_NP;price:399.00;client:desktop;supplier_id:900152322004;asc_category_id:1756;item_id:124429672;sku_id:1033780905;shop_id:43935,item,449.00,124429672,search,11,true,1033780905,574e15ed216a5f0267793e13699cb759,399.00,1,2141132616994318186576185e0177,124429672,449.00,Rs. 449,-11%,
Over The Knee Long School Socks For Women,105434947,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/over-the-knee-long-school-socks-for-women-i105434947-s1027160378.html?search=1,https://static-01.daraz.com.np/p/f0ca8a82d374735ea187d9f3b4dea4f5.jpg,115.00,null,Rs. 115,4,5,,nt_product,Nepal,105434947_NP-1027160378,105434947_NP,[],[],39704,No Brand,900152139061,,YUVKA FASHIONIST,[],0,"[1819, 1820, 1738, 1756]",query:;nid:105434947;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:105434947_NP;price:115.00;client:desktop;supplier_id:900152139061;asc_category_id:1756;item_id:105434947;sku_id:1027160378;shop_id:39197,"[{'sku': '105434947_NP-1027160378', 'title': 'Int: One size', 'skuId': '1027160378', 'count': 0}]",105434947,,1027160378,True,0,False,query:;nid:105434947;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:105434947_NP;price:115.00;client:desktop;supplier_id:900152139061;asc_category_id:1756;item_id:105434947;sku_id:1027160378;shop_id:39197,item,115.00,105434947,search,0,false,1027160378,574e15ed216a5f0267793e13699cb759,115.00,1,2141132616994318186576185e0177,105434947,,,,
Pack Of 5 Pairs Korean Basic Love Foot Socks Plain Color Ankle Sock For Women,128151175,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-5-pairs-korean-basic-love-foot-socks-plain-color-ankle-sock-for-women-i128151175-s1035250067.html?search=1,https://static-01.daraz.com.np/p/e3253f219d0d43174ccb67cc551627ce.jpg,445,null,Rs. 445,3,2,,nt_product,Nepal,128151175_NP-1035250067,128151175_NP,[],"['Pack Of 5 Pairs', '5 Different Colors', 'Fashionable Wear', 'Comfortable And Breathable', 'Pattern May Vary', 'Gender: Women', 'Type: Ankle', 'Material: Cotton']",39704,No Brand,900151896073,,E-Stores,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128151175;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:128151175_NP;price:445;client:desktop;supplier_id:900151896073;asc_category_id:1756;item_id:128151175;sku_id:1035250067;shop_id:35245,"[{'sku': '128151175_NP-1035250067', 'title': 'Int: One size', 'skuId': '1035250067', 'count': 0}]",128151175,Free Shipping,1035250067,True,0,False,query:;nid:128151175;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:128151175_NP;price:445;client:desktop;supplier_id:900151896073;asc_category_id:1756;item_id:128151175;sku_id:1035250067;shop_id:35245,item,495.00,128151175,search,10,true,1035250067,574e15ed216a5f0267793e13699cb759,445,1,2141132616994318186576185e0177,128151175,495.00,Rs. 495,-10%,
Nepster Green High Rise Premium Straight Cotton Cargo Box Pants For Women,128126101,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/nepster-green-high-rise-premium-straight-cotton-cargo-box-pants-for-women-i128126101-s1035196965.html?search=1,https://static-01.daraz.com.np/p/b9b738863bcf731c6969f7af92f84692.jpg,1372,null,"Rs. 1,372",5,1,,nt_product,Nepal,128126101_NP-1035196965,128126101_NP,[],"['Cargo Box Cotton Pant For Women', 'Has a Zip and Button Closure', 'Has Six Pockets (4 Box Pockets)', 'Available Sizes: 27, 28, 29, 30, 31 and 32.', 'Waistband with belt loops', '98% cotton, 2% elastane', 'Hand/Machine Wash', 'Length: 38/39 inches']",126528810,Nepster,900159987888,,NEPSTER,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:128126101;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:128126101_NP;price:1372;client:desktop;supplier_id:900159987888;asc_category_id:4434;item_id:128126101;sku_id:1035196965;shop_id:102739,"[{'sku': '128126101_NP-1035196969', 'title': 'Waist:27', 'skuId': '1035196969', 'count': 0}, {'sku': '128126101_NP-1035196965', 'title': 'Waist:28', 'skuId': '1035196965', 'count': 0}, {'sku': '128126101_NP-1035196966', 'title': 'Waist:29', 'skuId': '1035196966', 'count': 0}, {'sku': '128126101_NP-1035196967', 'title': 'Waist:30', 'skuId': '1035196967', 'count': 0}, {'sku': '128126101_NP-1035196968', 'title': 'Waist:31', 'skuId': '1035196968', 'count': 0}, {'sku': '128126101_NP-1035196970', 'title': 'Waist:32', 'skuId': '1035196970', 'count': 0}]",128126101,,1035196965,True,0,False,query:;nid:128126101;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:128126101_NP;price:1372;client:desktop;supplier_id:900159987888;asc_category_id:4434;item_id:128126101;sku_id:1035196965;shop_id:102739,item,1800.00,128126101,search,24,false,1035196965,574e15ed216a5f0267793e13699cb759,1372,1,2141132616994318186576185e0177,128126101,1800.00,"Rs. 1,800",-24%,
LOGO Stripe Formal Pant For Women,127991292,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/logo-stripe-formal-pant-for-women-i127991292-s1035030776.html?search=1,https://static-01.daraz.com.np/p/c8246feb756350f87bee2b97190a9371.jpg,699,null,Rs. 699,4.4,9,,nt_product,Nepal,127991292_NP-1035030776,127991292_NP,[],"['Stripe fabric', 'Regular fit design', 'Light and comfortable ', 'Wash as per the instruction on care label']",55775,LOGO,900152982023,,LOGO,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:127991292;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:127991292_NP;price:699;client:desktop;supplier_id:900152982023;asc_category_id:4434;item_id:127991292;sku_id:1035030776;shop_id:56447,"[{'sku': '127991292_NP-1035030776', 'title': 'Int:32', 'skuId': '1035030776', 'count': 0}, {'sku': '127991292_NP-1035030778', 'title': 'Int:34', 'skuId': '1035030778', 'count': 0}]",127991292,Free Shipping,1035030776,True,0,False,query:;nid:127991292;src:LazadaMainSrp;rn:574e15ed216a5f0267793e13699cb759;region:np;sku:127991292_NP;price:699;client:desktop;supplier_id:900152982023;asc_category_id:4434;item_id:127991292;sku_id:1035030776;shop_id:56447,item,1900.00,127991292,search,63,true,1035030776,574e15ed216a5f0267793e13699cb759,699,1,2141132616994318186576185e0177,127991292,1900.00,"Rs. 1,900",-63%,
