name,nid,icons,productUrl,image,originalPrice,originalPriceShow,price,promotionId,priceShow,discount,ratingScore,review,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,freeShipping,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.x_item_ids,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.x_object_id,installment,utLogMap.voucherIds
Soxabox Pack of 6 Pairs of Ladies Cotton Printed Full Socks with Thumb (SLF-3),119882917,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/soxabox-pack-of-6-pairs-of-ladies-cotton-printed-full-socks-with-thumb-slf-3-i119882917-s1032776990.html?search=1,https://static-01.daraz.com.np/p/d99c85f3c9dc173335d9c624ff2da1fb.jpg,1800.00,"Rs. 1,800",799.00,null,Rs. 799,-56%,3.7,10,nt_product,Nepal,119882917_NP-1032776990,119882917_NP,[],"['Package Contents: Pack of 6 Pairs', 'Fibre Content: 97% Bamboo Cotton &amp; 3% Spandex', 'Style: Self Print Socks with Thumb Cut', 'Length: Full Length Socks', 'Normal Wash', 'Flexible, Stretchable', 'Easy to Wear', 'Wash instructions✔Washing with clean water with ordinary temperatures.✔Do Not Bleach and Do not iron.✔Machine washable, but we suggest be hand-washed to maintain exceptional feel.']",123778080,Soxabox,900153294018,,SOXABOX -Your Personal Tailor,[],0,"[1819, 1820, 1738, 1756]",query:;nid:119882917;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:119882917_NP;price:799.00;client:desktop;supplier_id:900153294018;asc_category_id:1756;item_id:119882917;sku_id:1032776990;shop_id:59994,"[{'sku': '119882917_NP-1032776990', 'title': 'free size', 'skuId': '1032776990', 'count': 0}]",119882917,Free Shipping,1032776990,True,0,False,query:;nid:119882917;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:119882917_NP;price:799.00;client:desktop;supplier_id:900153294018;asc_category_id:1756;item_id:119882917;sku_id:1032776990;shop_id:59994,item,1800.00,119882917,search,56,true,1032776990,70b443db64a6e8f5734b7ebf0926f968,799.00,1,213bce9316994318589903508e0470,119882917,,
Sunshine Readymade Cotton Petticoat(Peticot)(Free Size) For Women,110274067,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/sunshine-readymade-cotton-petticoatpeticotfree-size-for-women-i110274067-s1029885290.html?search=1,https://static-01.daraz.com.np/p/3ef9dfc55102b1730bbb87c70e80b6be.jpg,,,599.00,null,Rs. 599,,4.8,13,nt_product,Nepal,110274067_NP-1029885290,110274067_NP,[],[],39704,No Brand,1010777,,The Sunshine Collection,[],0,"[1819, 1820, 1738, 1755]",query:;nid:110274067;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:110274067_NP;price:599.00;client:desktop;supplier_id:1010777;asc_category_id:1755;item_id:110274067;sku_id:1029885290;shop_id:20499,"[{'sku': '110274067_NP-1029885290', 'title': 'free size', 'skuId': '1029885290', 'count': 0}]",110274067,Free Shipping,1029885290,True,0,False,query:;nid:110274067;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:110274067_NP;price:599.00;client:desktop;supplier_id:1010777;asc_category_id:1755;item_id:110274067;sku_id:1029885290;shop_id:20499,item,599.00,110274067,search,0,true,1029885290,70b443db64a6e8f5734b7ebf0926f968,599.00,1,213bce9316994318589903508e0470,110274067,,
TOBU Premium Women No Show Socks for Winter - Fashion | Socks For Women | Women's Footwear | Socks |,123364406,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/tobu-premium-women-no-show-socks-for-winter-fashion-socks-for-women-womens-footwear-socks-i123364406-s1033527031.html?search=1,https://static-01.daraz.com.np/p/a27ad5241c52f412eed0e769642f57ae.jpg,,,285.00,null,Rs. 285,,4.5,2,nt_product,Nepal,123364406_NP-1033527031,123364406_NP,[],"['Elastane Body for maximum comfort and stretch', 'Silicone grip at back for better support', 'Contrast colors welt in a feminine color', 'Sweat absorbing terry fabric', 'Colors Available', 'Available in 4pc and 12pc value packs. (Browse store page for value packs)']",39704,No Brand,900154488331,,Comfy,[],0,"[1819, 1820, 1738, 1756]",query:;nid:123364406;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:123364406_NP;price:285.00;client:desktop;supplier_id:900154488331;asc_category_id:1756;item_id:123364406;sku_id:1033527031;shop_id:69160,"[{'sku': '123364406_NP-1033527031', 'skuId': '1033527031', 'count': 0}]",123364406,Free Shipping,1033527031,True,0,False,query:;nid:123364406;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:123364406_NP;price:285.00;client:desktop;supplier_id:900154488331;asc_category_id:1756;item_id:123364406;sku_id:1033527031;shop_id:69160,item,285.00,123364406,search,0,true,1033527031,70b443db64a6e8f5734b7ebf0926f968,285.00,1,213bce9316994318589903508e0470,123364406,,
Navy Blue Plain Long Stocking Socks For Women - 1 Pairs,127739613,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/navy-blue-plain-long-stocking-socks-for-women-1-pairs-i127739613-s1034662995.html?search=1,https://static-01.daraz.com.np/p/1266c4c8e21428c0516a11e7e3b78a30.jpg,200.00,Rs. 200,120.00,null,Rs. 120,-40%,,0,nt_product,Nepal,127739613_NP-1034662995,127739613_NP,[],"['Material: Cotton/nylon', 'Close Fit', 'Highly Comfortable', 'Perfect for weather', 'Suitable for both summer &amp; winter']",39704,No Brand,1008296,,Ssonlinewholesale&retail,[],0,"[1819, 1820, 1738, 1756]",query:;nid:127739613;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:127739613_NP;price:120.00;client:desktop;supplier_id:1008296;asc_category_id:1756;item_id:127739613;sku_id:1034662995;shop_id:18173,"[{'sku': '127739613_NP-1034662995', 'skuId': '1034662995', 'count': 0}]",127739613,,1034662995,True,0,False,query:;nid:127739613;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:127739613_NP;price:120.00;client:desktop;supplier_id:1008296;asc_category_id:1756;item_id:127739613;sku_id:1034662995;shop_id:18173,item,200.00,127739613,search,40,false,1034662995,70b443db64a6e8f5734b7ebf0926f968,120.00,1,213bce9316994318589903508e0470,127739613,,
Pack of 5 Vintage Pattern Winter Wool Cashmere Socks Warm Free Size Thick Socks By Ramesh Impex,104850756,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-5-vintage-pattern-winter-wool-cashmere-socks-warm-free-size-thick-socks-by-ramesh-impex-i104850756-s1026356157.html?search=1,https://static-01.daraz.com.np/p/671ff81adc874fa6fbd22e6fb98ec378.jpg,1499.00,"Rs. 1,499",850.00,null,Rs. 850,-43%,4,21,nt_product,Bagmati,104850756_NP-1026356157,104850756_NP,[],"['Material:Spandex / Nylon / Cotton', 'Feature:Breathable,Sweat-Absorbent, Anti-Bacterial', 'Color:As Shown in the Picture', 'Size:Custom Made Size', 'Age Group:Adults', 'Gender:Unisex']",39704,No Brand,8167,,Ramesh impex,[],0,"[1819, 1820, 1738, 1756]",query:;nid:104850756;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:104850756_NP;price:850.00;client:desktop;supplier_id:8167;asc_category_id:1756;item_id:104850756;sku_id:1026356157;shop_id:8908,"[{'sku': '104850756_NP-1026356157', 'title': 'Int: One size', 'skuId': '1026356157', 'count': 0}]",104850756,Free Shipping,1026356157,True,0,False,query:;nid:104850756;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:104850756_NP;price:850.00;client:desktop;supplier_id:8167;asc_category_id:1756;item_id:104850756;sku_id:1026356157;shop_id:8908,item,1499.00,104850756,search,43,true,1026356157,70b443db64a6e8f5734b7ebf0926f968,850.00,1,213bce9316994318589903508e0470,104850756,,
Pack of 6  (3 Pairs) Women Velvet Fur Inside Winter Socks - Multicolor,128428095,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-6-3-pairs-women-velvet-fur-inside-winter-socks-multicolor-i128428095-s1035903203.html?search=1,https://static-01.daraz.com.np/p/f24b0c891515f5a3de41688ab5ad45b7.jpg,999.00,Rs. 999,599.00,null,Rs. 599,-40%,,0,nt_product,Nepal,128428095_NP-1035903203,128428095_NP,[],"['Material:Spandex / Nylon / Cotton', 'Feature:Breathable,Sweat-Absorbent, Anti-Bacterial', 'Color:As Shown in the Picture', 'Size:Custom Made Size', 'Age Group:Adults', 'Gender:unisex']",39704,No Brand,900161523842,,THE PANDA,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128428095;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:128428095_NP;price:599.00;client:desktop;supplier_id:900161523842;asc_category_id:1756;item_id:128428095;sku_id:1035903203;shop_id:104519,"[{'sku': '128428095_NP-1035903203', 'title': 'free size', 'skuId': '1035903203', 'count': 0}]",128428095,Free Shipping,1035903203,True,0,False,query:;nid:128428095;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:128428095_NP;price:599.00;client:desktop;supplier_id:900161523842;asc_category_id:1756;item_id:128428095;sku_id:1035903203;shop_id:104519,item,999.00,128428095,search,40,true,1035903203,70b443db64a6e8f5734b7ebf0926f968,599.00,1,213bce9316994318589903508e0470,128428095,,
Soxabox Pack of 6 Pairs of Ladies  Printed Premium Cotton Summer Half Socks with Toe Cut (SLH-9),119871554,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/soxabox-pack-of-6-pairs-of-ladies-printed-premium-cotton-summer-half-socks-with-toe-cut-slh-9-i119871554-s1032777545.html?search=1,https://static-01.daraz.com.np/p/a6fa8f7df09de21690e2f94d47d731a4.jpg,1500.00,"Rs. 1,500",499.00,null,Rs. 499,-67%,3.7,6,nt_product,Nepal,119871554_NP-1032777545,119871554_NP,[],"['Package Contents: Pack of 6 Pairs', 'Fibre Content: 97% Bamboo Cotton &amp; 3% Spandex', 'Style: Self Print Socks with toe cut  ', 'Length: Half Length Socks', 'Normal Wash', 'Flexible, Stretchable', 'Easy to Wear', 'We recommend gentle machine wash using a wash bag, or hand wash with mild fabric soap in warm water. Do not bleach. Do not tumble dry. Do not iron. Do not dry-clean.']",123778080,Soxabox,900153294018,,SOXABOX -Your Personal Tailor,[],0,"[1819, 1820, 1738, 1756]",query:;nid:119871554;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:119871554_NP;price:499.00;client:desktop;supplier_id:900153294018;asc_category_id:1756;item_id:119871554;sku_id:1032777545;shop_id:59994,"[{'sku': '119871554_NP-1032777545', 'title': 'free size', 'skuId': '1032777545', 'count': 0}]",119871554,Free Shipping,1032777545,True,0,False,query:;nid:119871554;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:119871554_NP;price:499.00;client:desktop;supplier_id:900153294018;asc_category_id:1756;item_id:119871554;sku_id:1032777545;shop_id:59994,item,1500.00,119871554,search,67,true,1032777545,70b443db64a6e8f5734b7ebf0926f968,499.00,1,213bce9316994318589903508e0470,119871554,,
Pack Of 12 (6 Pairs) Women Velvet Fur Inside Winter Socks Multicolor,128309040,[],//www.daraz.com.np/products/pack-of-12-6-pairs-women-velvet-fur-inside-winter-socks-multicolor-i128309040-s1035553509.html?search=1,https://np-live-21.slatic.net/kf/Sf682415b56d94ae39e73c5e5cab33b97o.jpg,999.00,Rs. 999,499.00,null,Rs. 499,-50%,5,1,nt_product,Nepal,128309040_NP-1035553509,128309040_NP,[],"['Soft material: women/girls thermal socks are made of polyester, designed with velvet pile lining, skin-friendly and breathable, moisture-wicking and odor-fighting, soft to touch and comfortable to wear', ""Winter Thermal Toe Dark Colour Wool Heavy Duty Warm Ankle Length Socks Women/Girls Thumb socks: Available in multicolor Soft material: comfortable to wear. Colorful combination Specifications: Quantity: 6 pairs Material: cotton velvet mix Color: as pictures have shown Package includes: 4,6,12 Pairs of women's thermal socks"", 'Size: Free Size -Only one size, Thumb socks Gender: Women Girl']",39704,No Brand,900163664040,,Sujata Store,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128309040;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:128309040_NP;price:499.00;client:desktop;supplier_id:900163664040;asc_category_id:1756;item_id:128309040;sku_id:1035553509;shop_id:105338,"[{'sku': '128309040_NP-1035553509', 'skuId': '1035553509', 'count': 0}]",128309040,,1035553509,True,0,False,query:;nid:128309040;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:128309040_NP;price:499.00;client:desktop;supplier_id:900163664040;asc_category_id:1756;item_id:128309040;sku_id:1035553509;shop_id:105338,item,999.00,128309040,search,50,false,1035553509,70b443db64a6e8f5734b7ebf0926f968,499.00,1,213bce9316994318589903508e0470,128309040,,
Pack of 18 (9 Pairs) Women Velvet Fur Inside Winter Socks - Multicolor By Arushi,109927207,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-18-9-pairs-women-velvet-fur-inside-winter-socks-multicolor-by-arushi-i109927207-s1029766726.html?search=1,https://static-01.daraz.com.np/p/c26fd6753f777fd32cac9142a8c3cede.jpg,1099.00,"Rs. 1,099",1049.00,null,"Rs. 1,049",-5%,5,1,nt_product,Nepal,109927207_NP-1029766726,109927207_NP,[],[],39704,No Brand,1009986,,Arushi,[],0,"[1819, 1820, 1738, 1756]",query:;nid:109927207;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:109927207_NP;price:1049.00;client:desktop;supplier_id:1009986;asc_category_id:1756;item_id:109927207;sku_id:1029766726;shop_id:19800,"[{'sku': '109927207_NP-1029766726', 'title': 'free size', 'skuId': '1029766726', 'count': 0}]",109927207,Free Shipping,1029766726,True,0,False,query:;nid:109927207;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:109927207_NP;price:1049.00;client:desktop;supplier_id:1009986;asc_category_id:1756;item_id:109927207;sku_id:1029766726;shop_id:19800,item,1099.00,109927207,search,5,true,1029766726,70b443db64a6e8f5734b7ebf0926f968,1049.00,1,213bce9316994318589903508e0470,109927207,,
Pack of 12 (6 Pairs) Women Velvet Fur Inside Winter Socks - Multicolor,121832260,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-12-6-pairs-women-velvet-fur-inside-winter-socks-multicolor-i121832260-s1033136603.html?search=1,https://static-01.daraz.com.np/p/61a3f660d017e8f875b86715614f8415.jpg,799.00,Rs. 799,750.00,null,Rs. 750,-6%,5,1,nt_product,Nepal,121832260_NP-1033136603,121832260_NP,[],"['Material:Spandex / Nylon / Cotton', 'Feature:Breathable,Sweat-Absorbent, Anti-Bacterial', 'Color:As Shown in the Picture', 'Size:Custom Made Size', 'Age Group:Adults', 'Gender:Women']",39704,No Brand,900156381044,,Blush Up,[],0,"[1819, 1820, 1738, 1756]",query:;nid:121832260;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:121832260_NP;price:750.00;client:desktop;supplier_id:900156381044;asc_category_id:1756;item_id:121832260;sku_id:1033136603;shop_id:80380,"[{'sku': '121832260_NP-1033136603', 'title': 'free size', 'skuId': '1033136603', 'count': 0}]",121832260,Free Shipping,1033136603,True,0,False,query:;nid:121832260;src:LazadaMainSrp;rn:70b443db64a6e8f5734b7ebf0926f968;region:np;sku:121832260_NP;price:750.00;client:desktop;supplier_id:900156381044;asc_category_id:1756;item_id:121832260;sku_id:1033136603;shop_id:80380,item,799.00,121832260,search,6,true,1033136603,70b443db64a6e8f5734b7ebf0926f968,750.00,1,213bce9316994318589903508e0470,121832260,,
